Seconds
1	524	1
2	291	5
3	303	4
4	606	4
5	1131	3
6	272	2
7	758	2
8	653	2
9	128	1
10	186	1
11	128	1
12	1394	5
13	513	4
14	1284	3
15	758	1
16	2088	2
17	148	4
18	303	5
19	652	4
20	828	3
21	478	2
22	2440	1
23	478	1
24	372	1
25	443	2
26	585	2
27	303	4
28	397	5
29	571	4
30	671	1
31	303	2
32	1422	2
33	898	3
34	233	4
35	1772	5
36	1752	4
37	326	2
38	956	2
39	676	1
40	2888	4
41	5	3
42	163	3
43	1131	4
44	2671	3
45	503	3
46	618	4
47	1224	1
48	478	5
49	1014	1
50	4882	5
51	781	1
52	198	2
53	1625	2
54	828	4
55	3451	3
56	2314	2
57	967	3
58	2229	4
59	1620	5
60	612	5
61	536	1
62	649	2
63	1935	2
64	93	4
65	3103	2
